Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-01-02,2476.96,2519.49,2467.47,2510.03,2073977778
2019-01-03,2491.92,2493.14,2443.96,2447.89,2123811111
2019-01-04,2474.33,2538.07,2474.33,2531.94,2340783333
2019-01-07,2535.61,2566.16,2524.56,2549.69,2280394444
2019-01-08,2568.11,2579.82,2547.56,2574.41,2268350000
2019-01-09,2580,2595.32,2568.89,2584.96,2251377778
2019-01-10,2573.51,2597.82,2562.02,2596.64,2058055556
2019-01-11,2588.11,2596.27,2577.4,2596.26,1908050000
2019-01-14,2580.31,2589.32,2570.41,2582.61,2035805556
2019-01-15,2585.1,2613.08,2585.1,2610.3,1984627778
2019-01-16,2614.75,2625.76,2612.68,2616.1,2146538889
2019-01-17,2609.28,2645.06,2606.36,2635.96,2095705556
2019-01-18,2651.27,2675.47,2647.58,2670.71,2214850000
2019-01-22,2657.88,2657.88,2617.27,2632.9,2171127778
2019-01-23,2643.48,2653.19,2612.86,2638.7,1853116667
2019-01-24,2638.84,2647.2,2627.01,2642.33,1907361111
2019-01-25,2657.44,2672.38,2657.33,2664.76,2118933333
2019-01-28,2644.97,2644.97,2624.06,2643.85,2007116667
2019-01-29,2644.89,2650.93,2631.05,2640,1946777778
2019-01-30,2653.62,2690.44,2648.34,2681.05,2148783333
2019-01-31,2685.49,2708.95,2678.65,2704.1,2732027778
2019-02-01,2702.32,2716.66,2696.88,2706.53,2088483333
2019-02-04,2706.49,2724.99,2698.75,2724.87,1866577778
2019-02-05,2728.34,2738.98,2724.03,2737.7,1978016667
2019-02-06,2735.05,2738.08,2724.15,2731.61,1929272222
2019-02-07,2717.53,2719.32,2687.26,2706.05,2277494444
2019-02-08,2692.36,2708.07,2681.83,2707.88,2012405556
2019-02-11,2712.4,2718.05,2703.79,2709.8,1867761111
2019-02-12,2722.61,2748.19,2722.61,2744.73,2126538889
2019-02-13,2750.3,2761.85,2748.63,2753.03,2039316667
2019-02-14,2743.5,2757.9,2731.23,2745.73,2131500000
2019-02-15,2760.24,2775.66,2760.24,2775.6,2022983333
2019-02-19,2769.28,2787.33,2767.29,2779.76,1963172222
2019-02-20,2779.05,2789.88,2774.06,2784.7,2130805556
2019-02-21,2780.24,2781.58,2764.55,2774.88,1977616667
2019-02-22,2780.67,2794.2,2779.11,2792.67,1904338889
2019-02-25,2804.35,2813.49,2794.99,2796.11,2113544444
2019-02-26,2792.36,2803.12,2789.47,2793.9,2025377778
2019-02-27,2787.5,2795.76,2775.13,2792.38,2092850000
2019-02-28,2788.11,2793.73,2782.51,2784.49,2442738889
2019-03-01,2798.22,2808.02,2787.38,2803.69,2206822222
2019-03-04,2814.37,2816.88,2767.66,2792.81,2177672222
2019-03-05,2794.41,2796.44,2782.97,2789.65,1992050000
2019-03-06,2790.27,2790.27,2768.69,2771.45,2103666667
2019-03-07,2766.53,2767.25,2739.09,2748.93,2169366667
2019-03-08,2730.79,2744.13,2722.27,2743.07,1901738889
2019-03-11,2747.61,2784,2747.61,2783.3,2082794444
2019-03-12,2787.34,2798.32,2786.73,2791.52,1896794444
2019-03-13,2799.78,2821.24,2799.78,2810.92,2092305556
