Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2019-01-02,1.14621,1.14968,1.13145,1.13426
2019-01-03,1.13432,1.14107,1.13096,1.1394
2019-01-04,1.13938,1.1419,1.13463,1.14029
2019-01-07,1.14054,1.14826,1.14048,1.14758
2019-01-08,1.14766,1.14846,1.14228,1.14411
2019-01-09,1.14412,1.15568,1.14395,1.15495
2019-01-10,1.15495,1.15698,1.1486,1.14985
2019-01-11,1.14983,1.15402,1.14582,1.14636
2019-01-14,1.1465,1.1482,1.14507,1.14658
2019-01-15,1.14661,1.14897,1.13821,1.14063
2019-01-16,1.14062,1.14246,1.1378,1.13951
2019-01-17,1.13951,1.14057,1.13706,1.13889
2019-01-18,1.13885,1.141,1.13534,1.13645
2019-01-21,1.13659,1.13913,1.1357,1.13702
2019-01-22,1.137,1.13738,1.13364,1.13633
2019-01-23,1.13631,1.13942,1.13511,1.13808
2019-01-24,1.13803,1.13914,1.12895,1.13025
2019-01-25,1.13025,1.14174,1.13008,1.14163
2019-01-28,1.14093,1.14437,1.13906,1.14276
2019-01-29,1.1428,1.14502,1.14115,1.14351
2019-01-30,1.14351,1.15015,1.14065,1.14812
2019-01-31,1.14816,1.15141,1.1436,1.14461
2019-02-01,1.14461,1.14885,1.14347,1.14596
2019-02-04,1.14565,1.14603,1.14248,1.14358
2019-02-05,1.14357,1.14403,1.14013,1.14059
2019-02-06,1.1405,1.14096,1.1361,1.13674
2019-02-07,1.13674,1.13684,1.1325,1.13425
2019-02-08,1.13425,1.1351,1.13212,1.13231
2019-02-11,1.13191,1.133,1.12676,1.12774
2019-02-12,1.12769,1.13397,1.12581,1.13297
2019-02-13,1.13291,1.1342,1.12498,1.12567
2019-02-14,1.12572,1.131,1.12501,1.1295
2019-02-15,1.1295,1.13063,1.12345,1.12997
2019-02-18,1.12912,1.1334,1.12896,1.13105
2019-02-19,1.13102,1.1357,1.12757,1.13393
2019-02-20,1.13393,1.13712,1.13251,1.13457
2019-02-21,1.13453,1.13662,1.13223,1.13373
2019-02-22,1.13365,1.13557,1.13167,1.13319
2019-02-25,1.13367,1.13675,1.13354,1.13598
2019-02-26,1.13596,1.1402,1.13455,1.13933
2019-02-27,1.13932,1.1403,1.13625,1.13726
2019-02-28,1.13725,1.14194,1.13602,1.13706
2019-03-01,1.13705,1.14086,1.13534,1.13677
2019-03-04,1.13778,1.13813,1.13091,1.13379
2019-03-05,1.13376,1.1339,1.12899,1.13006
2019-03-06,1.13005,1.13244,1.12876,1.13084
2019-03-07,1.13085,1.13202,1.11766,1.11918
2019-03-08,1.11935,1.12459,1.11853,1.12329
2019-03-11,1.12344,1.12737,1.12219,1.12634
2019-03-12,1.12634,1.13049,1.12493,1.12897
2019-03-13,1.12897,1.13387,1.12775,1.13374
2019-03-14,1.13373,1.13376,1.12942,1.1306
2019-03-15,1.13061,1.13444,1.13008,1.13258
2019-03-18,1.13265,1.13588,1.1319,1.1335
