Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-01-02,32.4043,34.3509,32.2565,33.7886,51276030.464359
2019-01-03,33.1844,33.5258,31.6702,31.7462,71110798.161315
2019-01-04,32.4781,34.1632,32.1696,33.7817,59023135.685153
2019-01-07,34.3549,35.9388,33.8414,35.5694,71474419.158515
2019-01-08,36.3883,36.4103,33.9553,34.6875,79220745.402435
2019-01-09,35.2018,35.8408,34.6945,35.3715,62212020.691367
2019-01-10,35.1768,36.1108,34.5707,36.0228,52727634.841989
2019-01-11,35.801,37.1464,35.5214,36.9178,88165186.136185
2019-01-14,36.3953,37.5678,36.1585,37.318,73592042.754405
2019-01-15,37.6437,38.0374,36.9926,37.1763,62186937.235577
2019-01-16,37.4479,37.7776,36.8628,36.9197,47380594.411135
2019-01-17,36.5901,38.0334,36.3183,37.6337,49732226.464229
2019-01-18,38.1291,39.1848,37.6157,38.9252,65646655.879438
2019-01-22,38.6234,38.7414,36.6001,36.9028,66676106.857586
2019-01-23,37.4559,38.3418,36.719,37.0315,59567641.520128
2019-01-24,37.8775,39.3276,37.8306,39.1509,71455401.309269
2019-01-25,38.5554,39.9019,37.5278,39.7241,116431989.98834
2019-01-28,33.8713,35.137,32.4931,34.2331,253130638.28403
2019-01-29,33.7717,34.2551,32.4961,32.638,116302172.19095
2019-01-30,33.4039,34.2231,32.6031,34.0783,98190211.972591
2019-01-31,34.0453,36.0128,33.8284,35.6563,84949138.066259
2019-02-01,35.8428,36.4123,35.3715,35.9008,62996953.032069
2019-02-04,36.0588,37.3759,35.8388,37.0056,53276364.974425
2019-02-05,37.1244,37.5608,36.7869,37.1962,54669689.266188
2019-02-06,37.5258,38.5954,37.4739,37.9535,70799815.174568
2019-02-07,37.4879,37.5078,36.1387,36.5681,64213766.971856
2019-02-08,35.8958,36.8598,35.7511,36.754,46524087.312444
2019-02-11,36.3123,36.8558,35.8428,36.3283,49908041.944803
2019-02-12,36.711,37.6537,36.5681,37.4978,59571540.409512
2019-02-13,37.7936,38.6534,37.6557,37.9235,61013966.276874
2019-02-14,37.9135,38.6114,37.4809,38.3288,83377808.547882
2019-02-15,40.4162,40.646,38.8014,39.0251,152869462.22869
2019-02-19,38.9212,39.6601,38.7314,38.8533,55623905.897056
2019-02-20,39.1449,39.9968,39.0331,39.3276,54525005.826601
2019-02-21,39.4544,39.7001,38.4917,38.6384,45207922.782518
2019-02-22,39.1549,39.6741,39.0181,39.4873,40490518.944466
2019-02-25,40.3194,40.9955,39.2746,39.3626,66118571.683227
2019-02-26,39.3146,39.8719,38.6334,38.9652,49230971.868265
2019-02-27,38.8234,39.0881,37.9804,38.5485,50419499.335534
2019-02-28,38.4857,38.7114,38.0803,38.3018,32716452.913596
2019-03-01,38.8034,39.2676,38.2159,38.8453,35962952.170691
2019-03-04,39.2308,39.4603,38.3618,38.9282,41279348.172042
2019-03-05,38.7734,39.2448,38.2258,38.8633,36540642.620676
2019-03-06,38.7754,38.8583,37.7276,37.7556,40628531.017857
2019-03-07,37.5178,37.6157,36.6001,37.0615,45318310.213356
2019-03-08,36.1685,37.5108,35.9528,37.4059,42530325.954834
2019-03-11,37.6407,40.2395,37.1683,40.0098,86560466.745396
2019-03-12,40.2895,40.8189,39.5272,40.3514,58353781.284421
2019-03-13,40.7289,42.163,40.6529,41.8683,77415835.964261
2019-03-14,41.9603,42.0801,41.0305,41.1084,52293672.633726
2019-03-15,41.5388,42.5886,41.504,42.166,66598228.194215
2019-03-18,42.4767,43.018,41.6786,41.9503,49032317.747001
2019-03-19,42.8961,44.0736,42.7264,43.6333,86081864.556577
2019-03-20,43.9228,44.4551,42.9561,43.3055,72406609.167002
2019-03-21,43.5375,45.9372,43.4875,45.6756,82994717.133899
2019-03-22,45.4131,45.8874,43.9368,44.0736,75275579.986337
2019-03-25,43.6703,44.3113,42.4847,43.1509,52880337.337834
2019-03-26,44.568,45.1312,43.3555,43.9198,70831760.235119
2019-03-27,44.1736,44.641,43.1309,43.827,47761545.140601
2019-03-28,44.0856,44.6709,43.4835,44.0116,48354803.112966
2019-03-29,44.6809,44.8308,44.1756,44.588,46001935.510438
2019-04-01,45.509,45.5658,44.7908,45.2631,48713286.667578
2019-04-02,45.506,45.8845,45.0734,45.4431,44393486.442463
2019-04-03,45.9372,47.4225,45.8874,46.8302,79417232.806538
2019-04-04,46.6785,47.1658,46.119,46.7433,46050418.310064
2019-04-05,47.1728,47.5852,46.8102,47.4095,48504010.225443
2019-04-08,47.1028,47.872,46.8631,47.6192,42709451.586489
2019-04-09,47.2826,47.3955,46.5686,46.99,44298131.863503
2019-04-10,46.983,47.9547,46.938,47.6972,44781357.850775
2019-04-11,47.7222,48.0365,47.0599,47.5573,37716295.943185
2019-04-12,47.9447,47.9845,47.0878,47.1758,47493202.626937
2019-04-15,47.0978,47.1478,45.4691,45.8615,44310311.136864
2019-04-16,46.2568,46.918,45.9272,46.7303,39766432.907784
2019-04-17,47.0778,47.2876,46.2838,46.5037,35340285.318259
2019-04-18,46.5686,46.9081,45.9812,46.2608,38359334.342459
2019-04-22,46.0242,46.95,45.7106,46.7962,28184966.224069
2019-04-23,46.926,47.6552,46.8282,47.3396,34922694.640636
2019-04-24,47.4455,47.875,46.8362,47.4655,32038061.179639
2019-04-25,47.0599,47.2856,45.6156,46.4137,50271161.312936
2019-04-26,44.8718,44.9167,43.031,44.2214,87493118.332723
2019-04-29,44.3013,44.8078,43.5803,44.5311,39459927.536167
2019-04-30,44.2055,45.2012,44.0136,44.9435,36540326.223902
2019-05-01,45.4711,45.8894,44.8108,44.8128,35670376.267257
2019-05-02,44.9097,45.9043,44.4751,45.4911,39738418.776794
2019-05-03,45.5728,45.6726,44.8278,45.4461,33912663.015237
2019-05-06,43.5803,44.7808,43.2058,44.6579,42506455.0196
2019-05-07,44.1736,44.1736,42.4987,42.9841,55901479.987537
2019-05-08,42.7064,43.9886,42.5866,43.1858,42203240.775207
2019-05-09,42.4917,42.5886,41.0684,42.2579,66476122.067602
2019-05-10,41.9503,42.6046,40.7209,41.9183,57339221.981107
2019-05-13,40.596,40.8288,39.1828,39.3426,66140467.141123
2019-05-14,39.74,40.586,39.3526,40.2335,52846796.275823
2019-05-15,39.6771,39.9868,39.0831,39.6222,50575487.952323
2019-05-16,39.5702,40.1995,39.1429,39.772,78642913.775406
2019-05-17,39.3546,40.649,38.4718,38.8653,102905668.36847
2019-05-20,37.8805,38.4288,37.4339,37.6807,57597710.136961
2019-05-21,38.2858,38.6614,37.9035,38.5017,36432415.899466
2019-05-22,38.1121,38.3738,37.6837,37.7936,32809791.964994
2019-05-23,37.1683,37.1683,35.9828,36.5801,59589131.4695
2019-05-24,36.769,37.1214,35.9728,36.0408,36003041.444455
2019-05-28,36.2184,36.5451,35.5694,35.5894,43128312.857491
2019-05-29,35.117,35.4635,34.5007,34.8502,56362936.67512
2019-05-30,34.8822,35.2417,34.1981,34.5826,39654314.30598
2019-05-31,34.0913,34.4179,33.6557,33.6737,39193714.693206
2019-06-03,33.7857,34.1732,32.9597,33.2543,48136669.563616
2019-06-04,33.8983,35.5994,33.6737,35.5464,64548745.049536
2019-06-05,36.2883,36.3423,34.7603,35.124,51452646.94943
2019-06-06,35.1668,35.9888,35.1419,35.7412,41046081.645253
2019-06-07,35.801,36.5122,35.6093,36.1705,35084249.237417
2019-06-10,36.731,37.5837,36.731,36.8978,40507271.953498
2019-06-11,37.4978,37.8755,37.0785,37.4759,38605423.949972
2019-06-12,37.0385,37.1014,36.1925,36.3453,36093402.761639
2019-06-13,36.5651,37.0385,36.3903,36.8558,30983406.595028
2019-06-14,35.9228,36.1685,35.5064,35.9558,39667051.278721
2019-06-17,35.9388,36.4253,35.7092,36.0528,27761216.823129
2019-06-18,36.668,38.5584,36.5581,38.0034,58522908.377455
2019-06-19,38.3558,38.4688,37.8036,38.0633,33353099.296993
2019-06-20,38.9682,39.1081,38.162,38.3058,35215970.421748
2019-06-21,38.1561,38.6514,37.6607,37.7256,43689878.08572
2019-06-24,37.9405,38.2438,37.4679,37.9505,28455866.945843
2019-06-25,37.9974,38.7514,37.6277,37.6557,31364097.999289
2019-06-26,38.9312,40.1995,38.8034,39.5872,58739641.170192
2019-06-27,40.4461,40.7689,40.0837,40.576,44797614.23702
2019-06-28,41.0155,41.1084,40.3564,40.8259,39992906.916447
2019-07-01,42.8981,43.2436,40.9325,41.3082,71558166.181073
2019-07-02,41.1404,41.3501,40.1935,40.3264,40250480.92592
2019-07-03,40.561,40.619,39.8539,40.4561,24803758.035875
2019-07-05,39.8699,39.9139,39.1948,39.827,39881023.609713
2019-07-08,39.2328,39.4225,38.7814,39.0781,33166322.069892
2019-07-09,38.6584,39.3846,38.5315,39.1031,34481136.907242
2019-07-10,39.5402,40.3614,39.4006,39.784,45464828.954491
2019-07-11,40.5191,41.7406,40.1436,41.3352,68644228.971848
2019-07-12,41.6106,42.3758,41.6106,41.6636,50927402.268813
2019-07-15,41.8763,42.0381,41.2982,41.5787,29148888.025661
2019-07-16,41.4311,41.8036,40.9755,41.5308,34338671.248855
2019-07-17,41.5488,42.2559,41.2582,42.186,35018564.866241
2019-07-18,42.2899,42.9341,41.7236,42.3028,44570065.881077
2019-07-19,42.6864,42.7514,41.8106,41.8703,34685827.598639
2019-07-22,42.086,42.7164,42.0102,42.5866,31773761.736167
2019-07-23,42.9811,43.6902,42.8242,43.6703,43061286.803785
2019-07-24,44.4132,44.4711,43.3405,44.4132,36832140.171807
2019-07-25,43.9956,44.1236,42.8662,43.1009,39493252.326964
2019-07-26,43.3735,43.9886,43.3735,43.5235,27571983.515992
2019-07-29,43.4505,43.6233,42.5746,43.4605,24957397.706979
2019-07-30,42.994,43.7401,42.8482,43.6173,19889573.425823
2019-07-31,43.3005,43.3075,41.517,41.9403,36146076.81729
2019-08-01,42.0461,42.9511,40.4731,40.9955,42360927.521528
2019-08-02,40.0667,40.7629,39.5922,40.0667,43078660.591301
2019-08-05,38.2318,38.2438,37.0155,37.4859,59250971.401459
2019-08-06,38.2318,38.6884,37.3959,37.8735,36332633.768156
2019-08-07,37.2642,38.3738,37.0885,38.2538,37468168.780486
2019-08-08,38.8314,39.3526,38.2558,39.3406,31105878.179941
2019-08-09,38.9312,38.9632,37.8236,38.3258,34376167.270564
2019-08-12,37.8056,38.3258,37.4309,37.6477,28078908.222533
2019-08-13,37.5358,39.2507,37.2442,38.7934,36256372.13261
2019-08-14,37.9105,38.0204,36.8678,37.3061,42227042.623803
2019-08-15,37.5608,37.6937,36.642,36.9826,55761687.681655
2019-08-16,39.6102,40.1536,38.9951,39.6621,102116264.42017
2019-08-19,40.7989,42.6116,40.636,42.4527,82096729.016133
2019-08-20,42.3977,42.4027,41.517,41.7286,46615897.44651
2019-08-21,42.3897,43.1179,42.176,42.5646,43034570.30008
2019-08-22,42.6615,43.0879,42.2359,42.6266,30548507.211505
2019-08-23,41.8605,42.4057,40.1796,40.3794,57273777.911281
2019-08-26,41.1684,41.4091,40.7459,41.1284,32040690.476897
2019-08-27,41.509,41.5368,39.9239,40.2195,29320846.669588
2019-08-28,39.9538,40.643,39.5642,40.1136,25702932.641551
2019-08-29,41.0305,41.8783,40.9955,41.5537,36005578.626196
2019-08-30,42.0182,42.5147,41.499,41.6806,29227441.53532
2019-09-03,40.9525,41.2822,40.621,40.8508,29790307.394598
2019-09-04,41.4571,42.0681,41.4571,41.9933,22919149.651611
2019-09-05,43.016,44.7908,42.998,44.7279,69975529.48298
2019-09-06,44.4931,45.0634,44.0736,44.4551,37874685.570951
2019-09-09,44.7678,45.7816,44.7528,44.9167,41948578.417076
2019-09-10,44.588,45.8475,44.4911,45.5828,35446880.994063
2019-09-11,45.7306,46.3507,45.4411,45.8675,36320879.027178
2019-09-12,46.3337,46.8781,45.7746,45.8515,32938036.789812
2019-09-13,45.1892,45.5609,44.8378,45.2761,32611556.368578
2019-09-16,44.5231,45.1912,44.4182,44.8448,23292040.273339
2019-09-17,44.9117,45.0994,44.4451,45.0594,22954594.100555
2019-09-18,44.9895,45.1462,43.9198,44.7878,26527745.994849
2019-09-19,44.8478,45.0314,43.9228,44.0286,25754641.486785
2019-09-20,44.0186,44.2554,42.8682,42.9711,35892927.356402
2019-09-23,42.9741,43.9616,42.9361,43.5075,25702707.359036
2019-09-24,43.82,44.1156,42.5746,42.9311,32275019.335897
2019-09-25,42.9261,44.5481,42.4767,44.3512,31457709.392215
2019-09-26,44.2534,44.3413,43.6203,44.1286,23894263.488523
2019-09-27,43.7131,44.2185,42.133,42.7384,36767733.402802
2019-09-30,42.998,43.4175,42.6844,43.3155,19410626.80507
2019-10-01,43.5475,45.0414,43.2506,43.2975,36929188.875276
2019-10-02,43.0779,43.1978,42.3328,43.058,29705005.422061
2019-10-03,43.1039,45.1812,42.7982,45.1194,46490336.988009
2019-10-04,45.1412,45.5758,44.4881,45.2831,26921842.209351
2019-10-07,45.9292,46.8631,45.8415,45.8675,49060647.273509
2019-10-08,44.9515,44.9515,43.9198,44.1016,45145249.18699
2019-10-09,44.8718,45.4661,44.583,44.9695,30932893.249005
2019-10-10,44.9465,46.0542,44.8937,45.5489,32905340.787545
2019-10-11,46.3867,47.1098,46.197,46.2808,45298379.218985
2019-10-14,46.167,46.6205,45.8815,46.4167,21132341.913789
2019-10-15,47.3156,49.5888,47.1758,48.8627,67112186.721484
2019-10-16,48.5201,49.5718,48.2075,48.3233,43478513.024361
2019-10-17,48.7698,49.2222,47.7992,48.3433,26555800.176063
2019-10-18,48.3473,48.6748,46.6535,47.3975,30906870.615442
2019-10-21,48.0115,48.9067,47.8251,48.7728,26822080.103151
2019-10-22,49.3421,50.3956,48.5949,48.6728,33895325.272923
2019-10-23,47.8521,48.6848,47.5323,48.5431,28711190.132681
2019-10-24,48.9545,49.3191,48.6149,48.9825,24015973.11791
2019-10-25,49.7915,51.1078,49.7137,50.8981,42507813.723476
2019-10-28,51.3376,51.9837,51.0418,51.4595,33234483.547471
2019-10-29,51.3196,51.3845,50.2989,50.4926,21222866.435639
2019-10-30,50.7622,50.8201,49.8304,50.5126,20692855.778271
2019-10-31,50.3029,50.5126,49.2192,50.0202,21071739.91614
2019-11-01,49.6657,50.7352,49.416,50.4106,28497002.531729
2019-11-04,51.2248,52.5032,50.9918,52.3782,37848507.742769
2019-11-05,52.3762,52.638,51.6812,52.1585,30228117.428207
2019-11-06,51.9188,52.1735,50.7902,51.6692,27027656.905772
2019-11-07,52.5302,52.6778,51.3975,51.8468,28165621.965492
2019-11-08,51.6772,52.0207,51.2996,51.7071,19029683.084393
2019-11-11,51.6991,52.0367,50.8321,51.8068,24493416.853977
2019-11-12,52.1865,52.7177,51.8388,52.1585,28517163.814892
2019-11-13,51.8488,52.1206,51.2378,51.9008,30378470.978369
2019-11-14,51.9907,52.2263,51.3895,52.2035,52948141.367158
2019-11-15,52.1805,52.6977,49.9243,50.8101,105916642.26609
2019-11-18,50.7352,53.0883,50.7053,52.8226,57801997.322344
2019-11-19,52.5132,52.7477,51.1748,51.759,41733062.149917
2019-11-20,51.5294,53.3879,51.4015,52.5481,47523862.075274
2019-11-21,52.5032,53.0613,52.0837,52.3002,28974331.1234
2019-11-22,52.5262,52.9953,52.2403,52.4762,22515102.958761
2019-11-25,53.7605,55.0918,53.6308,55.0419,50972968.410819
2019-11-26,54.8672,54.9121,53.9344,53.9992,38749192.241922
2019-11-27,54.4506,54.7942,54.0841,54.3437,21626895.105889
2019-11-29,54.0391,54.3188,53.7355,53.9743,14211678.087932
2019-12-02,53.9044,54.0391,51.9567,52.1066,37534822.367103
2019-12-03,50.269,51.754,49.8943,51.7141,47602117.210758
2019-12-04,52.5481,52.7727,51.8668,52.1486,27470043.678819
2019-12-05,52.3682,52.5262,51.6742,51.9807,18586991.929636
2019-12-06,52.6729,53.1642,52.5731,52.8356,23333744.572418
2019-12-09,52.6061,53.3839,52.5182,52.8356,21598358.319466
2019-12-10,53.1363,53.8045,52.6081,53.2861,25770423.277866
