Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-01-01,0.3566,0.3682,0.3523,0.365,0
2019-01-02,0.3646,0.3842,0.364,0.3833,0
2019-01-03,0.3833,0.3856,0.353,0.3624,0
2019-01-04,0.3624,0.3662,0.3523,0.3622,0
2019-01-05,0.3622,0.369,0.3533,0.3596,0
2019-01-06,0.3596,0.3766,0.353,0.3704,0
2019-01-07,0.3704,0.3807,0.3638,0.3656,0
2019-01-08,0.3656,0.3762,0.3609,0.3681,0
2019-01-09,0.3681,0.3752,0.364,0.3734,0
2019-01-10,0.3732,0.3875,0.3249,0.3325,0
2019-01-11,0.3325,0.3394,0.328,0.3293,0
2019-01-12,0.3293,0.3363,0.3266,0.3328,0
2019-01-13,0.3326,0.3371,0.3162,0.318,0
2019-01-14,0.3178,0.3426,0.3173,0.3359,0
2019-01-15,0.3359,0.3391,0.3231,0.3267,0
2019-01-16,0.3267,0.3374,0.3261,0.3289,0
2019-01-17,0.3289,0.334,0.3243,0.3288,0
2019-01-18,0.3288,0.3325,0.3213,0.3239,0
2019-01-19,0.3239,0.3421,0.3236,0.335,0
2019-01-20,0.335,0.3355,0.3149,0.3213,0
2019-01-21,0.3213,0.3244,0.3165,0.3189,0
2019-01-22,0.3187,0.3248,0.3094,0.3211,0
2019-01-23,0.3212,0.3229,0.3152,0.3178,0
2019-01-24,0.3178,0.3223,0.3147,0.3194,0
2019-01-25,0.3194,0.3217,0.3138,0.3165,0
2019-01-26,0.3168,0.3214,0.3152,0.3158,0
2019-01-27,0.3158,0.3162,0.3056,0.3095,0
2019-01-28,0.3095,0.3098,0.284,0.2936,0
2019-01-29,0.2936,0.297,0.2839,0.2904,0
2019-01-30,0.2905,0.3283,0.2865,0.3206,0
2019-01-31,0.3207,0.3381,0.3058,0.3159,0
2019-02-01,0.3159,0.3164,0.2979,0.3089,0
2019-02-02,0.3089,0.3119,0.3057,0.3074,0
2019-02-03,0.3071,0.3143,0.2982,0.3024,0
2019-02-04,0.3025,0.3059,0.2977,0.299,0
2019-02-05,0.299,0.3025,0.2961,0.2993,0
2019-02-06,0.2993,0.3007,0.2884,0.2895,0
2019-02-07,0.2895,0.2935,0.2884,0.2919,0
2019-02-08,0.2918,0.3214,0.2897,0.3097,0
2019-02-09,0.3097,0.3162,0.3075,0.312,0
2019-02-10,0.312,0.3127,0.2996,0.3069,0
